title,duration,rating,voters,genre
329. 10/31 Part 4,1h 27m,5.5,19,Mystery
330. Rukhwat,1h 57m,7.6,10,Mystery
331. Lotus,1h 57m,7.0,40,Mystery
332. Tears of Blood,1h 28m,9.7,8,Mystery
333. The Choice,40m,9.5,8,Mystery
334. Huggin Molly,54m,5.9,88,Mystery
335. Treasures of Terror: Vol 2,N/A,3.8,13,Mystery
336. Detective Conan vs. Kid the Phantom Thief,1h 21m,6.1,177,Mystery
337. Wishes of the Blue Girl,1h 13m,4.3,382,Mystery
338. Perfumed with Mint,1h 51m,6.2,28,Mystery
339. Sakura,1h 59m,6.2,81,Mystery
340. Cluedo,1h 18m,N/A,N/A,Mystery
341. Astrid's Saints,N/A,7.2,10,Mystery
342. Døde menn går på ski,1h 29m,5.2,341,Mystery
343. Fanum: Ombre dal passato,N/A,N/A,N/A,Mystery
344. Videotheque,1h 52m,5.2,108,Mystery
345. The Journalist,N/A,N/A,N/A,Mystery
346. An Intruder Among Us,N/A,8.7,41,Mystery
347. Nature Cat's Nature Movie Special Extraordinaire,53m,7.1,22,Mystery
348. Night Demon,1h,N/A,N/A,Mystery
349. Bo Nan Za,1h 1m,9.1,29,Mystery
350. King Saud,1h 40m,7.8,14,Mystery
351. Last Party,N/A,8.3,23,Mystery
352. Unknown Caller,1h 3m,7.3,35,Mystery
353. O Clube das Mulheres de Negócios,1h 35m,4.7,115,Mystery
354. Passages of Nexus,1h 48m,5.3,327,Mystery
355. Chandranum Policeum,1h 53m,8.5,580,Mystery
356. Cora,N/A,7.1,28,Mystery
357. Bigul,2h 24m,8.7,57,Mystery
358. Zim Zim Ala Kazim,1h 40m,3.6,115,Mystery
359. Katabasis,N/A,7.1,36,Mystery
360. Joy Hanu Man,2h 23m,8.9,27,Mystery
361. Idealnaya zhertva,1h 32m,8.5,8,Mystery
362. When Autumn Comes,1h 21m,N/A,N/A,Mystery
363. Danyang Mahar Tukar Nyawa,1h 50m,5.9,10,Mystery
364. Satham Indri Mutham Tha,1h 47m,6.9,1.2K,Mystery
365. Haunting Trophies,2h 30m,6.2,95,Mystery
366. This Land of Mine,1h 30m,4.5,38,Mystery
367. Scarlet Blue,1h 46m,5.6,21,Mystery
368. Hidden Memories,1h 24m,5.8,33,Mystery
369. Dont,47m,N/A,N/A,Mystery
370. Dai jia fa de ren,2h 1m,5.5,67,Mystery
371. Misteri Bilik Korek Api,1h 13m,5.6,10,Mystery
372. Real Estate Sisters,1h 24m,4.5,31,Mystery
373. The Spoils,N/A,8.6,119,Mystery
374. Aru Tozasareta Yuki no Sanso de,1h 49m,5.1,150,Mystery
375. Grayson's Encounter,1h 10m,7.0,23,Mystery
376. Leatherbound,N/A,8.0,8,Mystery
377. The Gatekeeper,1h 37m,5.5,21,Mystery
378. Tranquility: Ghost Stories,1h 28m,7.6,53,Mystery
379. Una historia y ya...,1h 27m,3.9,44,Mystery
380. Muroi Shinji: Yaburezaru Mono,1h 55m,6.3,30,Mystery
381. Lost Chapters,1h 8m,6.7,22,Mystery
382. Los Alamos,1h 31m,N/A,N/A,Mystery
383. Dead Dead Full Dead,1h 50m,6.6,14,Mystery
384. Tale of the Land,1h 39m,6.1,22,Mystery
385. Anno 2020,2h 25m,8.6,25,Mystery
386. Aliens Uncovered: The Land of Legends,N/A,7.3,14,Mystery
387. Miss PJ,1h 55m,5.3,67,Mystery
388. L.I.F.E.,1h 48m,4.1,31,Mystery
389. Anak Perjanjian Syaitan 2,1h 29m,6.4,34,Mystery
390. Kalponik,53m,9.1,13,Mystery
391. Who Killed Angel Adams?,1h 16m,6.4,25,Mystery
392. Problematic Intentions,1h 30m,4.6,15,Mystery
393. Saka Perawan,1h 31m,5.1,57,Mystery
394. Tatkshan,N/A,8.4,22,Mystery
395. Mesken (Messuage),1h 39m,7.3,47,Mystery
