title,duration,rating,voters,genre
504. Saala,2h 10m,5.5,1.1K,Action
505. Ranger,N/A,7.8,6,Action
506. Gull Lake Vice II: The Delusion Continues,58m,8.1,18,Action
507. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,1h 30m,7.1,62,Action
508. The Heist,2h,6.8,2K,Action
509. Appudo Ippudo Eppudo,2h,4.7,245,Action
510. Camp Blood: Clown Shark,1h 10m,3.5,103,Action
511. Reapers,N/A,7.9,586,Action
512. Purushothamudu,2h,8.1,29,Action
513. Samandar,2h 52m,7.7,142,Action
514. Transformers Prime: Galavatron's Revenge,1h 44m,4.7,21,Action
515. Ronny - The ruler,N/A,9.1,47,Action
516. South Side Hero,1h 32m,5.5,40,Action
517. Go for Broke,1h 55m,5.7,299,Action
518. The Day Everything Changed,1h 37m,8.1,80,Action
519. Gone with the Dead,1h 36m,4.0,63,Action
